"","sample_size","ESSa","ESSa_seconds","ESSb","ESSb_seconds"
"...21",87,7.72220133409052,26.845762014389,7.51135103837656,41.2482709884644
"...22",87,6.70486703319791,26.0717840194702,6.65924451685605,40.5423450469971
"...23",87,6.74676170816202,19.5286979675293,6.51701066318933,28.5665748119354
"...24",87,7.83283844287726,26.3140451908112,7.64244850834295,41.1627600193024
"...25",87,7.62855501052486,28.0464539527893,7.46058725992016,40.3806600570679
"...26",87,7.49052556234984,27.5938670635223,7.12947140253983,39.6775298118591
"...27",87,7.70375085202355,23.305860042572,7.5257256108217,31.1318571567535
"...28",87,7.87080521015171,30.0993800163269,7.59084085449807,29.2281179428101
"...29",87,8.93865583233242,27.0519328117371,8.91241167492667,41.1988191604614
"...30",87,7.55967488065253,26.5700311660767,7.43111610110504,41.7370979785919
"...31",87,7.54491912015777,18.5162320137024,7.36428674768795,15.0183420181274
"...32",87,7.82948106657325,18.3179929256439,7.56097674957058,16.7375099658966
"...33",87,7.10783937995441,13.811176776886,6.94052320879166,19.5661330223083
"...34",87,7.16742150560041,18.6242780685425,6.84661084085633,16.3385119438171
"...35",87,8.10462001726774,18.8107421398163,7.88258752711582,15.9175989627838
"...36",87,7.97499073150599,16.0098071098328,7.72861795794312,16.0308678150177
"...37",87,7.66102782001598,14.6791620254517,7.55329629878558,16.640606880188
"...38",87,7.88290681321136,15.2816700935364,7.7650355609718,12.9672870635986
"...39",87,8.02970503301439,18.317015171051,8.13844672919536,16.6862709522247
"...40",87,7.91988525044819,16.4990010261536,7.88799365806873,16.0369210243225
"...41",87,6.900263713738,17.9621369838715,6.75803253991478,15.2468559741974
"...42",87,6.31843003072559,18.2511978149414,5.92743461568373,15.7487411499023
"...43",87,7.08733507826148,4.59115290641785,6.83228509400989,23.8910629749298
"...44",87,8.50103264647912,17.9904301166534,8.36515814560479,15.3996238708496
"...45",87,7.72336970032923,18.0771079063416,7.6265008549437,15.4926970005035
"...46",87,7.04689384759909,18.3110918998718,6.86052467033404,15.790470123291
"...47",87,7.55559846206063,8.45542907714844,7.38030831738213,21.6373181343079
"...48",87,7.67181448146326,12.6556789875031,7.52974345608482,12.3100810050964
"...49",87,7.24584489101446,18.162652015686,6.97533829163461,15.6221730709076
"...50",87,6.93159641211486,18.4045660495758,6.7411489374585,15.6209709644318
"...1",44,7.57123880557853,0.747351884841919,7.47150016982803,0.800904989242554
"...2",44,7.487352676441,0.742547035217285,7.23832215639731,0.800027132034302
"...3",44,6.9687024652599,0.728991031646729,6.6333481336218,0.827568054199219
"...4",44,7.53929445166031,0.736155986785889,7.11985227884467,0.800430059432983
"...5",44,7.50695794372486,0.733186960220337,7.54016451138628,0.809445142745972
"...6",44,7.10460709123553,0.736896991729736,6.89926893998592,0.795981884002686
"...7",44,6.94341400232405,0.759232997894287,6.72658250631619,0.790304183959961
"...8",44,7.04393912706723,0.747627973556519,6.86418258919767,0.810837984085083
"...9",44,7.6848293728644,0.744585990905762,7.27118872521274,0.799513101577759
"...10",44,7.34756943779857,0.744925975799561,7.03558655866544,0.840772151947021
"...11",44,7.07896948899727,0.895114183425903,6.86153805386095,0.962277889251709
"...12",44,7.74157739336956,0.790750026702881,7.57629209522675,0.93665599822998
"...13",44,8.10579307799666,0.804970026016235,7.84013659923512,0.953636169433594
"...14",44,8.33488601040677,0.864683151245117,8.03388280262754,0.908947944641113
"...15",44,7.63532859484263,0.881675958633423,7.18293863643538,0.931380987167358
"...16",44,6.61995385934652,0.896703958511353,6.15410956283926,0.911942958831787
"...17",44,7.63279035967625,0.915918827056885,7.2644120142896,0.904010057449341
"...18",44,6.16939460525782,0.911702871322632,5.72171206978745,1.0758638381958
"...19",44,7.36335249541157,0.88846492767334,7.02348761738632,0.962058782577515
"...20",44,9.21824705877112,0.85374903678894,8.85148810936833,1.01683616638184
"...21",44,7.69924748316012,0.978430986404419,7.33933837842284,0.894223928451538
"...22",44,6.81471518188988,1.02789092063904,6.69677805580916,0.923099994659424
"...23",44,7.45375644699438,1.03588008880615,7.14331994731687,0.861658811569214
"...24",44,8.2867742284992,0.952839851379395,8.06090133360442,0.87040901184082
"...25",44,7.46040751485906,1.00064992904663,7.38720288785625,0.892402172088623
"...26",44,7.21873997558989,0.966447114944458,6.84561124947463,0.872641086578369
"...27",44,8.24496316272215,0.959057092666626,8.05187333908671,0.879532098770142
"...28",44,7.54917725740675,0.930753946304321,6.99113064963967,0.900763988494873
"...29",44,8.89110765691516,0.98698902130127,8.70230387571417,0.891898155212402
"...30",44,7.35699865931999,0.958903074264526,7.04808015609241,0.886877059936523
"...31",44,7.91493675253063,0.727174997329712,7.69009355072291,1.61026096343994
"...32",44,7.70954343327765,0.769083976745605,7.33817624288182,2.72029519081116
"...33",44,6.9908303106411,0.670337915420532,6.7993541776242,0.758867025375366
"...34",44,7.4899141017359,0.714465141296387,7.01760576591082,3.21860909461975
"...35",44,9.2209606782309,0.727602958679199,8.96059829064375,2.0448009967804
"...36",44,8.77059182837086,0.703125953674316,8.27509673386381,0.773905992507935
"...37",44,6.91016898835859,0.748533010482788,6.66838859068874,0.834259986877441
"...38",44,7.61563535085307,0.708856105804443,7.39219036208705,1.92120409011841
"...39",44,7.40465138021585,0.711596012115479,7.29147442705239,1.77790784835815
"...40",44,7.20969011145949,0.780241966247559,6.72043664311934,0.81560206413269
"...41",44,6.78166233043974,0.691715002059937,6.50418120577585,0.790441989898682
"...42",44,5.98080402051384,0.702878952026367,5.45503750630565,0.744690895080566
"...43",44,7.29652407492751,0.656697034835815,6.86170951040343,0.784295082092285
"...44",44,8.50894493685592,0.702338933944702,8.26105713693611,0.71883487701416
"...45",44,6.9093172121576,0.695768117904663,6.60733961109211,0.763040065765381
"...46",44,6.86998410491795,0.679494142532349,6.5408926312907,0.785740852355957
"...47",44,7.74238202553125,0.670969009399414,7.57999895184577,0.778776884078979
"...48",44,8.19558177379298,0.682170152664185,8.16310831237313,0.801880121231079
"...49",44,6.24625631606727,0.684001922607422,5.94035648801929,0.805843114852905
"...50",44,6.32708437056061,0.682302951812744,6.27920673603489,0.770382881164551
"...1",22,9.32736034096573,0.204065799713135,8.88216581903876,0.202487945556641
"...2",22,7.10190964447316,0.204082012176514,6.59946237057012,0.209108114242554
"...3",22,7.18084985298934,0.204360008239746,6.80366403672915,0.205186128616333
"...4",22,9.32693443823109,0.203728914260864,8.70469338867484,0.207361936569214
"...5",22,7.18117020117811,0.204867124557495,7.3236445597885,0.203330993652344
"...6",22,6.88669164650806,0.204229116439819,6.67007491080776,0.205984830856323
"...7",22,6.76925410999175,0.204950094223022,6.23204440840937,0.2032630443573
"...8",22,6.95032283385145,0.204954147338867,6.8563041649706,0.204789876937866
"...9",22,7.7263353710898,0.205007076263428,7.62871479397308,0.203452110290527
"...10",22,7.96392028484225,0.205651998519897,7.32836875381127,0.202536106109619
"...11",22,6.27880489818252,0.156677007675171,5.73926637806568,0.161303043365479
"...12",22,8.48245003268621,0.164213895797729,7.72534404759133,0.160176038742065
"...13",22,9.94739418435784,0.160485982894897,9.80691799813785,0.163230895996094
"...14",22,7.88057935832381,0.154079914093018,7.87881147258089,0.164079904556274
"...15",22,8.19352830168375,0.162137985229492,8.26666334762443,0.161971092224121
"...16",22,6.34594042365154,0.154353857040405,6.04781114042548,0.163877010345459
"...17",22,6.63766451519602,0.157051086425781,6.03736075998304,0.166728973388672
"...18",22,6.21649986456394,0.155164003372192,5.60798076559787,0.163022994995117
"...19",22,6.04447793926449,0.15898609161377,5.79374865531065,0.163629055023193
"...20",22,8.74920527097314,0.157997846603394,8.99178994458443,0.159466028213501
"...21",22,7.65002751555281,0.153600931167603,6.86641342128656,0.189466953277588
"...22",22,6.48619756096101,0.155817031860352,6.53915530373173,0.186845064163208
